customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Female,0,Yes,No,0,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,53.983468127184324,71.45853754570643,No
5575-GNVDE,Male,0,No,No,28,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Mailed check,80.02976705529917,1976.9671508325407,No
3668-QPYBK,Male,0,No,No,1,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,74.47006344438876,188.04571667551744,Yes
7795-CFOCW,Male,0,No,No,33,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),47.57163059405812,1884.6076537301215,No
9237-HQITU,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,81.6379546885398,179.0036571115629,Yes
9305-CDSKC,Female,0,No,No,6,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,112.38863011122764,839.2367709132978,Yes
1452-KIOVK,Male,0,No,Yes,18,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),100.17969611542001,2014.323891005907,No
6713-OKOMC,Female,0,No,No,8,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,43.802954881531534,376.0644990700593,No
7892-POOKP,Female,0,Yes,No,18,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,119.61710734931657,3145.2415897113806,Yes
6388-TABGU,Male,0,No,Yes,47,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),69.93483911657724,3527.2775974930987,No
9763-GRSKD,Male,0,Yes,Yes,8,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,63.242900474336054,606.3308769762805,No
7469-LKBCI,Male,0,No,No,11,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),39.719695300738394,384.2852231353554,No
8091-TTVAX,Male,0,Yes,No,55,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),105.73718288799924,5710.489897108962,No
0280-XJGEX,Male,0,No,No,45,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),120.80252194956014,5092.888213764462,Yes
5129-JLPIS,Male,0,No,No,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,132.4569984653276,2757.2728844086773,No
3655-SNQYZ,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),123.0794369290741,7972.031461525073,No
8191-XWSZG,Female,0,No,No,34,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,34.821390682569785,1056.2307359287304,No
9959-WOFKT,Male,0,No,Yes,49,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),123.78827098619742,7445.274552171737,No
4190-MFLUW,Female,0,Yes,Yes,7,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),78.14313914566584,606.0778762142179,Yes
4183-MYFRB,Female,0,No,No,15,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,110.70487367011256,1925.381240042111,No
8779-QRDMV,Male,1,No,No,0,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,56.8645345875709,108.80683163887204,Yes
1680-VDCWW,Male,0,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),31.27900031092237,221.51891642355056,No
1066-JKSGK,Male,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,39.01468222802072,76.44343612622308,Yes
3638-WEABW,Female,0,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),70.74630720845141,3581.4380993372542,No
6322-HRPFA,Male,0,Yes,Yes,37,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),68.92491536307205,3032.1506205658698,No
6865-JZNKO,Female,0,No,No,18,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),68.00874767337942,1555.2039034780178,No
6467-CHFZW,Male,0,Yes,Yes,33,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,109.00236585915917,4807.753197106301,Yes
8665-UTDHZ,Male,0,Yes,Yes,0,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,48.75105912994209,107.79740376504628,Yes
5248-YGIJN,Male,0,Yes,No,57,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),109.63155108569495,6448.65161770938,No
8773-HHUOZ,Female,0,No,Yes,12,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,78.3423448446965,1125.8235022184808,Yes
3841-NFECX,Female,1,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),117.97077589483585,6784.20602591161,No
4929-XIHVW,Male,1,Yes,No,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),109.26844645457524,239.92739551734655,No
6827-IEAUQ,Female,0,Yes,Yes,24,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,78.17441764799098,1960.9671211524708,No
7310-EGVHZ,Male,0,No,No,0,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),26.992801181919226,93.2763427094935,No
3413-BMNZE,Male,1,No,No,0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),55.39123952936109,101.16272469221683,No
6234-RAAPL,Female,0,Yes,Yes,71,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),119.56558628170298,7301.788187700745,No
6047-YHPVI,Male,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.758091250491,372.4462062951162,Yes
6572-ADKRS,Female,0,No,No,29,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),91.10759028670195,3598.373280156929,No
5380-WJKOV,Male,0,No,No,32,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,126.84449776582868,3592.604610207255,Yes
8168-UQWWF,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),124.50328340478481,1141.1254219478674,Yes
8865-TNMNX,Male,0,Yes,Yes,6,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,62.78808781173694,,No
